lat,long
21.4378,106.0042
21.4378,106.0048
21.4378,106.0052
21.4378,106.0055
21.4378,106.0059
21.4378,106.0062
21.4378,106.0065
21.4378,106.0069
21.4378,106.0072
21.4378,106.0076
21.4378,106.0079
21.4378,106.0082
21.4378,106.0086
21.4378,106.0089
21.4378,106.0093
21.4378,106.0096
21.4378,106.0099
21.4378,106.0103
21.4378,106.0110
21.4378,106.0113
21.4378,106.0116
21.4378,106.0120
21.4378,106.0123
21.4378,106.0127
21.4378,106.0130
21.4378,106.0134
21.4378,106.0147
21.4378,106.0151
21.4378,106.0154
21.4378,106.0157
21.4378,106.0161
21.4378,106.0164
21.4378,106.0168
21.4378,106.0171
21.4378,106.0174
21.4378,106.0178
21.4378,106.0181
21.4378,106.0185
21.4378,106.0188
21.4378,106.0191
21.4378,106.0195
21.4378,106.0198
21.4378,106.0202
21.4378,106.0205
21.4378,106.0208
21.4378,106.0212
21.4378,106.0215
21.4378,106.0219
21.4378,106.0222
21.4378,106.0226
21.4378,106.0277
21.4378,106.0280
21.4378,106.0283
21.4378,106.0287
21.4378,106.0290
21.4378,106.0294
21.4378,106.0297
21.4378,106.0300
21.4378,106.0304
21.4378,106.0307
21.4378,106.0321
21.4378,106.0324
21.4378,106.0328
21.4378,106.0331
21.4378,106.0335
21.4378,106.0338
21.4378,106.0341
21.4378,106.0345
21.4378,106.0348
21.4378,106.0352
21.4378,106.0355
21.4378,106.0358
21.4378,106.0362
21.4378,106.0365
21.4378,106.0372
21.4378,106.0379
21.4378,106.0386
21.4378,106.0389
21.4378,106.0392
21.4378,106.0396
21.4378,106.0399
21.4378,106.0403
21.4378,106.0406
21.4378,106.0409
21.4378,106.0413
21.4378,106.0416
21.4378,106.0420
21.4378,106.0423
21.4378,106.0427
21.4378,106.0447
21.4378,106.0450
21.4378,106.0454
21.4378,106.0461
21.4378,106.0464
21.4378,106.0467
21.4378,106.0471
21.4378,106.0474
21.4378,106.0478
21.4378,106.0481
21.4378,106.0484
21.4378,106.0488
21.4378,106.0491
21.4378,106.0495
21.4378,106.0498
21.4378,106.0501
21.4378,106.0505
21.4378,106.0508
21.4378,106.0512
21.4378,106.0515
21.4378,106.0519
21.4378,106.0522
21.4378,106.0529
21.4378,106.0532
21.4378,106.0536
21.4378,106.0539
21.4378,106.0542
21.4378,106.0546
21.4378,106.0553
21.4378,106.0556
21.4378,106.0559
21.4378,106.0563
21.4378,106.0566
21.4378,106.0570
21.4378,106.0573
21.4378,106.0576
21.4378,106.0580
21.4378,106.0587
21.4378,106.0590
21.4378,106.0600
21.4378,106.0604
21.4378,106.0607
21.4378,106.0611
21.4378,106.0614
21.4378,106.0617
21.4378,106.0621
21.4378,106.0624
21.4378,106.0628
21.4378,106.0631
21.4378,106.0634
21.4378,106.0638
21.4378,106.0641
21.4378,106.0645
21.4378,106.0648
21.4378,106.0651
21.4378,106.0655
21.4378,106.0658
21.4378,106.0662
21.4378,106.0665
21.4378,106.0668
21.4378,106.0672
21.4378,106.0675
21.4378,106.0679
21.4378,106.0682
21.4378,106.0685
21.4378,106.0689
21.4378,106.0692
21.4378,106.0696
21.4378,106.0699
21.4378,106.0702
21.4378,106.0706
21.4378,106.0709
21.4378,106.0713
21.4378,106.0716
21.4378,106.0720
21.4378,106.0723
21.4378,106.0726
21.4378,106.0730
21.4378,106.0733
21.4378,106.0737
21.4378,106.0740
21.4378,106.0743
21.4378,106.0747
21.4378,106.0750
21.4378,106.0754
21.4378,106.0757
21.4378,106.0760
21.4378,106.0764
21.4378,106.0767
21.4378,106.0771
21.4378,106.0774
21.4378,106.0777
21.4378,106.0781
21.4378,106.0784
21.4378,106.0788
21.4378,106.0791
21.4378,106.0794
21.4378,106.0798
21.4378,106.0801
21.4378,106.0805
21.4378,106.0808
21.4378,106.0812
21.4378,106.0815
21.4378,106.0818
21.4378,106.0822
21.4378,106.0825
21.4378,106.0829
21.4378,106.0832
21.4378,106.0835
21.4378,106.0839
21.4378,106.0842
21.4378,106.0846
21.4378,106.0849
21.4378,106.0852
21.4378,106.0856
21.4378,106.0859
21.4378,106.0863
21.4378,106.0866
21.4378,106.0869
21.4378,106.0873
21.4378,106.0876
21.4378,106.0880
21.4378,106.0883
21.4378,106.0886
21.4378,106.0890
21.4378,106.0893
21.4378,106.0897
21.4378,106.0900
21.4378,106.0903
21.4378,106.0907
21.4378,106.0910
21.4378,106.0914
21.4378,106.0917
21.4378,106.0921
21.4378,106.0924
21.4378,106.0927
21.4378,106.0931
21.4378,106.0934
21.4378,106.0938
21.4378,106.0941
21.4378,106.0944
21.4378,106.0948
21.4378,106.0951
21.4378,106.0955
21.4378,106.0958
21.4378,106.0961
21.4378,106.0965
21.4378,106.0968
21.4378,106.0972
21.4378,106.0975
21.4378,106.0978
21.4378,106.0982
21.4378,106.0985
21.4378,106.0989
21.4378,106.0992
21.4378,106.0995
21.4378,106.0999
21.4378,106.1002
21.4378,106.1006
21.4378,106.1009
21.4378,106.1013
21.4378,106.1016
21.4378,106.1023
21.4378,106.1030
21.4378,106.1036
21.4378,106.1040
21.4378,106.1043
21.4378,106.1047
21.4378,106.1060
21.4378,106.1064
21.4378,106.1067
21.4378,106.1077
21.4378,106.1081
21.4378,106.1084
21.4378,106.1087
21.4378,106.1091
21.4378,106.1094
21.4378,106.1098
21.4378,106.1101
21.4378,106.1105
21.4378,106.1108
21.4378,106.1111
21.4378,106.1115
21.4378,106.1118
21.4378,106.1122
21.4378,106.1125
21.4378,106.1128
21.4378,106.1132
21.4378,106.1135
21.4378,106.1139
21.4378,106.1142
21.4378,106.1145
21.4378,106.1149
21.4378,106.1152
21.4378,106.1156
21.4378,106.1159
21.4378,106.1162
21.4378,106.1166
21.4378,106.1173
21.4378,106.1176
21.4378,106.1179
21.4378,106.1183
21.4378,106.1186
21.4378,106.1190
21.4378,106.1193
21.4378,106.1196
21.4378,106.1200
21.4378,106.1203
21.4378,106.1207
21.4378,106.1210
21.4378,106.1214
21.4378,106.1217
21.4378,106.1220
21.4378,106.1224
21.4378,106.1227
21.4378,106.1231
21.4378,106.1234
21.4378,106.1237
21.4378,106.1241
21.4378,106.1244
21.4378,106.1248
21.4378,106.1251
21.4378,106.1254
21.4378,106.1258
21.4378,106.1261
21.4378,106.1265
21.4378,106.1268
21.4378,106.1271
21.4378,106.1275
21.4378,106.1278
21.4378,106.1282
21.4378,106.1285
21.4378,106.1288
21.4378,106.1292
21.4378,106.1295
21.4378,106.1299
21.4378,106.1302
21.4378,106.1306
21.4378,106.1309
21.4378,106.1312
21.4378,106.1316
21.4378,106.1319
21.4378,106.1323
21.4378,106.1326
21.4378,106.1329
21.4378,106.1333
21.4378,106.1346
21.4378,106.1350
21.4378,106.1357
21.4378,106.1360
21.4378,106.1363
21.4378,106.1367
21.4378,106.1370
21.4378,106.1374
21.4378,106.1377
21.4378,106.1380
21.4378,106.1384
21.4378,106.1387
21.4378,106.1391
21.4378,106.1394
21.4378,106.1398
21.4378,106.1401
21.4378,106.1404
21.4378,106.1408
21.4378,106.1411
21.4378,106.1415
21.4378,106.1418
21.4378,106.1421
21.4378,106.1425
21.4378,106.1428
21.4378,106.1432
21.4378,106.1435
21.4378,106.1438
21.4378,106.1442
21.4378,106.1445
21.4378,106.1449
21.4378,106.1452
21.4378,106.1455
21.4378,106.1459
21.4378,106.1462
21.4378,106.1466
21.4378,106.1469
21.4378,106.1472
21.4378,106.1476
21.4378,106.1479
21.4378,106.1483
21.4378,106.1489
21.4378,106.1493
21.4378,106.1496
21.4378,106.1500
21.4378,106.1503
21.4378,106.1510
21.4378,106.1513
21.4378,106.1517
21.4378,106.1520
21.4378,106.1527
21.4378,106.1530
21.4378,106.1534
21.4378,106.1537
21.4378,106.1541
21.4378,106.1544
21.4378,106.1547
21.4378,106.1551
21.4378,106.1554
21.4378,106.1558
21.4378,106.1564
21.4378,106.1568
21.4378,106.1571
21.4378,106.1575
21.4378,106.1578
21.4378,106.1581
21.4378,106.1585
21.4378,106.1588
21.4378,106.1592
21.4378,106.1595
21.4378,106.1599
21.4378,106.1602
21.4378,106.1605
21.4378,106.1609
21.4378,106.1612
21.4378,106.1616
21.4378,106.1619
21.4378,106.1622
21.4378,106.1629
21.4378,106.1636
21.4378,106.1639
21.4378,106.1643
21.4378,106.1650
21.4378,106.1660
21.4378,106.1663
21.4378,106.1670
21.4378,106.1673
21.4378,106.1680
21.4378,106.1684
21.4378,106.1687
